episode,season,category,beta_rTPJ,beta_visual_cortex,beta_auditory_cortex,beta_dorsal_striatum
s02e18a,2,Logic,0.1617983919871299,0.5094844137055694,-0.5103705320353652,0.17952907522782574
s02e18b,2,Language,0.5071702700305101,1.2540995032948832,0.3371071919066618,0.6782831017380222
s02e18b,2,Logic,0.20923963000745627,0.2611773815969757,-0.3787859176571606,0.2494110712100956
s02e18b,2,Identity,0.6258803394481097,1.4425832761706183,1.8513814160563866,1.437754676132699
s02e19a,2,Language,0.20784513277643124,-0.13256570661375344,-0.4607524270720263,0.4790377545852793
s02e19a,2,Logic,0.36690051046396543,0.42184387399695683,-0.18352978480230914,0.38771373682820787
s02e19a,2,Identity,1.292647426892169,1.0932790720827785,-0.8720614728108794,-0.06796261067628354
s02e19b,2,Language,0.4961320886407236,1.0747506305460375,-0.3988940699626651,0.7235524927104708
s02e19b,2,Logic,0.25166782868539783,0.3537853347095901,-0.0622240484019263,0.2797087681537768
s02e20a,2,Language,0.4335125162728243,0.3156011757265505,-0.39842584499796885,0.1765338473996799
s02e20a,2,Logic,0.8020035520615075,1.219064721535089,-0.2683074229888064,0.13938568809616797
s02e20a,2,Identity,0.648990518728197,0.44934206438831836,-1.0788552956912332,0.3393442708724286
s02e20b,2,Language,0.5172128456601597,0.7708553168956062,-0.383225311582825,0.47283564678635365
s02e20b,2,Logic,0.3325545709865726,0.6841828990785346,-0.6012253029653695,0.22808946352112963
s02e20b,2,Identity,0.5496865225182233,0.8385858812140027,-0.23631572169312642,0.49930867110427996
s02e21a,2,Language,-0.3225473957731743,-0.13738116311977153,-0.23552103965044158,0.03754180799125209
s02e21a,2,Logic,0.28338959201081726,0.30630048073098576,-0.20235068071558182,0.4170618963808436
s02e21a,2,Identity,0.7166017177785932,0.15696955820389438,-0.12119738120248831,0.2849913626309589
s02e21b,2,Language,-0.014156980325473908,-0.35935320784563246,-0.1327807159515929,-0.363924217053338
s02e21b,2,Logic,0.3237542164700534,0.39523620040505725,-0.29923374412513754,0.0804638325579507
s02e21b,2,Identity,1.685649682410594,1.0224394024066534,1.1758137803106161,0.6541880140982604
s02e22a,2,Language,0.4738425183605799,0.8391505268890189,-0.543591421593795,0.29662067727158725
s02e22a,2,Logic,0.5617436002058218,0.36034842210034496,-0.25647793351158654,0.4700927016930022
s02e22a,2,Identity,-0.9654070688656506,-0.5711093532894197,-1.0040593622408653,-0.7501877391331307
s02e22b,2,Language,0.3319826630320757,0.5585749378062069,-0.6571220611135625,0.11984879043467245
s02e22b,2,Logic,0.6074345259326687,0.363799550955013,-0.5226755213860016,0.25821768691385355
s02e23a,2,Language,0.9334553604390268,0.9280048350005047,-0.47578798549504153,0.14491724937495457
s02e23a,2,Logic,0.07133653355067901,0.16798341978742864,-0.7699576169663517,0.47177415159832903
s02e23b,2,Language,-0.455970052209426,-0.8476796048164355,-0.4552895646173021,0.16123222979895796
s02e23b,2,Logic,0.5059363371834851,0.6289146761522628,0.09493533356338274,0.17863672589803117
s02e23b,2,Identity,0.6102825828035736,0.6598285772133334,-0.20319411196967893,0.07988730057408922
s02e24a,2,Language,0.3560396104206863,0.3973822886199082,-0.26666443584143706,0.15949554903204263
s02e24a,2,Logic,0.3544863218802506,0.5307680485165709,-0.44056930002533556,0.130958077810802
s02e24b,2,Language,0.3584747806763732,0.42603313289547734,-0.5003283140455236,0.10597797459799957
s02e24b,2,Logic,0.3021950651264967,-0.005524535920955788,-0.5613654965072927,0.35111585390981426
s02e24b,2,Identity,-0.5791247196345508,1.3757209132079091,-2.056959810686261,-0.5564186462803415
s03e01a,3,Language,0.11062095710656769,0.5624210402787372,-0.7851427003278443,0.255183575369484
s03e01a,3,Logic,0.4692747859367611,0.7034111433982742,-0.3007134431766093,0.24379499142707417
s03e01a,3,Identity,1.3275099351253705,1.0163563084044536,-0.009794952803179213,0.5525087921961395
s03e01b,3,Language,-0.2773221352116956,0.3007218100349634,-0.22757947404871887,0.16626486164678494
s03e01b,3,Logic,-0.1657993115334646,-0.46480607125457957,-0.23895694577044937,0.221900633446775
s03e01b,3,Identity,1.359940242566116,1.392524338718534,-0.5306058327394975,0.9011962623612868
s03e02a,3,Language,0.3584971337501298,1.0278171846720165,-1.429138914618186,-0.027778829252032036
s03e02a,3,Logic,0.43257696705688464,0.37113589846037665,-0.21931084993643224,0.3815483682897327
s03e02b,3,Language,0.0010342738504925744,-0.012646931914996565,-0.3887125977283706,-0.01725076129308406
s03e02b,3,Logic,0.01917542496995811,0.15947169359306024,-0.38564094568578255,0.37015750231537475
s03e03a,3,Language,0.5728525886600893,0.18672834925244036,-0.6651318036744297,-0.03998223735401883
s03e03a,3,Logic,-0.4556145644704082,0.35480220592805894,-0.5485593213949368,0.17059634334391668
s03e03a,3,Identity,1.9442087641952202,0.6145372944222661,-0.7573904787287519,0.8016773947987845
s03e03b,3,Language,-0.11155831178816436,1.3998511682584673,-0.10232477938956541,0.15554753497590873
s03e03b,3,Logic,0.48779296250442666,0.7011040823155075,-0.060794003546970454,0.5343059282714656
s03e03b,3,Identity,0.10734654907031307,-0.531773132618566,0.46339774337031747,0.2962874354738675
s03e04a,3,Language,0.23072478350939432,0.017442690328990887,-0.48055293513056196,0.3703519119316079
s03e04a,3,Logic,0.7976505513225371,0.9188658617309068,-0.12744551000203136,0.27315091387756113
s03e04a,3,Identity,0.8243539611053436,0.0885474045275664,-1.2830138595235865,-0.06973814640602449
s03e04b,3,Language,-0.02686944231151385,1.3008581167182576,0.08155917856507178,0.300343008226965
