episode,season,measure,region,tier,beta
s01e06b,1,rms,ventral_str,some,-0.18083191823105849
s01e06b,1,rms,ventral_str,full,0.14754270578976178
s01e06b,1,prob,rTPJ,some,-0.08496341285637846
s01e06b,1,prob,rTPJ,full,0.13148090418631297
s01e06b,1,prob,visual_cortex,some,0.7284011574172851
s01e06b,1,prob,visual_cortex,full,-0.9190553705004343
s01e06b,1,prob,auditory_cortex,some,0.04605951914156663
s01e06b,1,prob,auditory_cortex,full,-0.37274418260381026
s01e06b,1,prob,dorsal_str,some,0.1856033435621397
s01e06b,1,prob,dorsal_str,full,-0.06650949455933126
s01e06b,1,prob,ventral_str,some,-0.23117300622772935
s01e06b,1,prob,ventral_str,full,-0.023049594899404176
s01e06b,1,humor,rTPJ,some,0.26636557056188626
s01e06b,1,humor,rTPJ,full,-0.1314253659636309
s01e06b,1,humor,visual_cortex,some,-0.09884735134423431
s01e06b,1,humor,visual_cortex,full,-0.3657896794595056
s01e06b,1,humor,auditory_cortex,some,-0.462922625928545
s01e06b,1,humor,auditory_cortex,full,0.002053122087299665
s01e06b,1,humor,dorsal_str,some,-0.008045836786818333
s01e06b,1,humor,dorsal_str,full,0.07072372932904165
s01e06b,1,humor,ventral_str,some,-0.09665890315036574
s01e06b,1,humor,ventral_str,full,-0.11646784273184813
s01e07a,1,rms,rTPJ,some,0.07783820568522905
s01e07a,1,rms,rTPJ,full,0.6067690937701438
s01e07a,1,rms,visual_cortex,some,0.28705972626553095
s01e07a,1,rms,visual_cortex,full,0.6102724516403737
s01e07a,1,rms,auditory_cortex,some,-0.7359890660375202
s01e07a,1,rms,auditory_cortex,full,-0.914534288107009
s01e07a,1,rms,dorsal_str,some,-0.1337328198114917
s01e07a,1,rms,dorsal_str,full,0.42732104798630843
s01e07a,1,rms,ventral_str,some,-0.1511333294199533
s01e07a,1,rms,ventral_str,full,0.053771159007988366
s01e07a,1,prob,rTPJ,some,0.17858428618275166
s01e07a,1,prob,rTPJ,full,0.4525571767920741
s01e07a,1,prob,visual_cortex,some,0.2434715467240961
s01e07a,1,prob,visual_cortex,full,0.6295111650879256
s01e07a,1,prob,auditory_cortex,some,-0.6823714675974828
s01e07a,1,prob,auditory_cortex,full,-0.9570388235377265
s01e07a,1,prob,dorsal_str,some,0.05607168841889612
s01e07a,1,prob,dorsal_str,full,0.1742396345107287
s01e07a,1,prob,ventral_str,some,0.021875436868666952
s01e07a,1,prob,ventral_str,full,-0.1505533368625114
