episode,season,n_trs,n_rois,excluded,sub-01_valid_trs,sub-01_status,sub-02_valid_trs,sub-02_status,sub-03_valid_trs,sub-03_status,sub-05_valid_trs,sub-05_status
s06e12a,s06,435,1032,False,435,full,435,full,435,full,435,full
s06e12b,s06,470,1032,False,470,full,470,full,470,full,470,full
s06e13a,s06,470,1032,False,470,full,470,full,470,full,470,full
s06e13b,s06,504,1032,False,504,full,504,full,504,full,504,full
s06e14a,s06,461,1032,False,461,full,461,full,461,full,461,full
s06e14b,s06,495,1032,False,495,full,24,partial,495,full,495,full
s06e15a,s06,456,1032,False,456,full,456,full,456,full,456,full
s06e15b,s06,460,1032,False,460,full,460,full,460,full,460,full
s06e15c,s06,460,1032,False,460,full,460,full,460,full,460,full
s06e15d,s06,490,1032,False,490,full,490,full,490,full,490,full
s06e17a,s06,428,1032,False,428,full,428,full,428,full,428,full
s06e17b,s06,462,1032,False,462,full,462,full,462,full,462,full
s06e18a,s06,435,1032,False,435,full,435,full,435,full,435,full
s06e18b,s06,470,1032,False,470,full,470,full,0,missing,470,full
s06e19a,s06,434,1032,False,434,full,434,full,434,full,434,full
s06e19b,s06,468,1032,False,468,full,468,full,468,full,468,full
s06e20a,s06,431,1032,False,431,full,431,full,431,full,431,full
s06e20b,s06,465,1032,False,465,full,465,full,465,full,465,full
s06e21a,s06,460,1032,False,460,full,460,full,460,full,460,full
s06e21b,s06,494,1032,False,494,full,494,full,494,full,494,full
s06e22a,s06,452,1032,False,452,full,452,full,452,full,452,full
s06e22b,s06,486,1032,False,486,full,486,full,486,full,486,full
s06e23a,s06,486,1032,False,486,full,486,full,486,full,486,full
s06e23b,s06,520,1032,False,520,full,520,full,520,full,520,full
s06e24a,s06,457,1032,True,457,full,457,full,457,full,457,full
s06e24b,s06,461,1032,True,461,full,461,full,461,full,461,full
s06e24c,s06,461,1032,True,461,full,461,full,461,full,461,full
s06e24d,s06,490,1032,True,490,full,490,full,490,full,490,full
